File,fold,slice,heads,kernel size,Nf,bestAcc,averAcc
saved_data.npy,4,10,2,11,1,0.2077922077922078,0.16363636363636366
saved_data.npy,5,10,2,11,1,0.3246753246753247,0.2896103896103896
saved_data.npy,6,10,2,11,1,0.23684210526315788,0.21973684210526315
saved_data.npy,7,10,2,11,1,0.32894736842105265,0.2657894736842105
saved_data.npy,8,10,2,11,1,0.3684210526315789,0.3421052631578947
saved_data.npy,9,10,2,11,1,0.2894736842105263,0.24342105263157893
saved_data.npy,0,10,2,11,9,0.35064935064935066,0.3246753246753247
saved_data.npy,1,10,2,11,9,0.2597402597402597,0.2155844155844156
saved_data.npy,2,10,2,11,9,0.24675324675324675,0.2064935064935065
saved_data.npy,3,10,2,11,9,0.3116883116883117,0.2558441558441559
saved_data.npy,4,10,2,11,9,0.2727272727272727,0.2064935064935065
saved_data.npy,5,10,2,11,9,0.4155844155844156,0.34285714285714286
saved_data.npy,6,10,2,11,9,0.2894736842105263,0.22368421052631576
saved_data.npy,7,10,2,11,9,0.2631578947368421,0.23815789473684207
saved_data.npy,8,10,2,11,9,0.3157894736842105,0.25526315789473686
saved_data.npy,9,10,2,11,9,0.2894736842105263,0.19736842105263158
saved_data.npy,0,10,2,5,5,0.35064935064935066,0.3051948051948052
saved_data.npy,1,10,2,5,5,0.35064935064935066,0.29350649350649355
saved_data.npy,2,10,2,5,5,0.2727272727272727,0.22857142857142856
saved_data.npy,3,10,2,5,5,0.3246753246753247,0.24545454545454545
saved_data.npy,4,10,2,5,5,0.23376623376623376,0.1974025974025974
saved_data.npy,5,10,2,5,5,0.4155844155844156,0.34025974025974026
saved_data.npy,6,10,2,5,5,0.27631578947368424,0.225
saved_data.npy,7,10,2,5,5,0.34210526315789475,0.28815789473684206
saved_data.npy,8,10,2,5,5,0.2894736842105263,0.26315789473684215
saved_data.npy,9,10,2,5,5,0.2631578947368421,0.2223684210526316
saved_data.npy,0,10,2,5,1,0.2727272727272727,0.21948051948051947
saved_data.npy,1,10,2,5,1,0.33766233766233766,0.29350649350649355
saved_data.npy,2,10,2,5,1,0.33766233766233766,0.2792207792207792
saved_data.npy,3,10,2,5,1,0.23376623376623376,0.1974025974025974
saved_data.npy,4,10,2,5,1,0.24675324675324675,0.2103896103896104
saved_data.npy,5,10,2,5,1,0.24675324675324675,0.2168831168831169
saved_data.npy,6,10,2,5,1,0.3157894736842105,0.23157894736842102
saved_data.npy,7,10,2,5,1,0.34210526315789475,0.3
saved_data.npy,8,10,2,5,1,0.3157894736842105,0.22894736842105262
saved_data.npy,9,10,2,5,1,0.35526315789473684,0.3092105263157895
saved_data.npy,0,10,2,5,9,0.38961038961038963,0.3181818181818182
saved_data.npy,1,10,2,5,9,0.35064935064935066,0.24415584415584415
saved_data.npy,2,10,2,5,9,0.2727272727272727,0.2103896103896104
saved_data.npy,3,10,2,5,9,0.38961038961038963,0.31558441558441563
saved_data.npy,4,10,2,5,9,0.3246753246753247,0.2766233766233766
saved_data.npy,5,10,2,5,9,0.38961038961038963,0.3363636363636363
saved_data.npy,6,10,2,5,9,0.23684210526315788,0.1815789473684211
saved_data.npy,7,10,2,5,9,0.3026315789473684,0.25921052631578945
saved_data.npy,8,10,2,5,9,0.35526315789473684,0.3013157894736842
saved_data.npy,9,10,2,5,9,0.25,0.21710526315789475
saved_data.npy,0,10,2,19,5,0.38961038961038963,0.3298701298701298
saved_data.npy,1,10,2,19,5,0.2987012987012987,0.27012987012987016
saved_data.npy,2,10,2,19,5,0.35064935064935066,0.2727272727272727
saved_data.npy,3,10,2,19,5,0.2857142857142857,0.24415584415584415
saved_data.npy,4,10,2,19,5,0.3116883116883117,0.2701298701298701
saved_data.npy,5,10,2,19,5,0.2987012987012987,0.24545454545454545
saved_data.npy,6,10,2,19,5,0.3815789473684211,0.3171052631578947
saved_data.npy,7,10,2,19,5,0.34210526315789475,0.2881578947368421
saved_data.npy,8,10,2,19,5,0.25,0.2276315789473684
saved_data.npy,9,10,2,19,5,0.3157894736842105,0.24078947368421053
saved_data.npy,0,10,2,19,1,0.2857142857142857,0.251948051948052
saved_data.npy,1,10,2,19,1,0.36363636363636365,0.2974025974025974
saved_data.npy,2,10,2,19,1,0.35064935064935066,0.2922077922077922
saved_data.npy,3,10,2,19,1,0.2597402597402597,0.20779220779220778
saved_data.npy,4,10,2,19,1,0.38961038961038963,0.3233766233766234
saved_data.npy,5,10,2,19,1,0.3246753246753247,0.2532467532467533
saved_data.npy,6,10,2,19,1,0.34210526315789475,0.2710526315789474
saved_data.npy,7,10,2,19,1,0.3684210526315789,0.30657894736842106
saved_data.npy,8,10,2,19,1,0.32894736842105265,0.2605263157894737
saved_data.npy,9,10,2,19,1,0.27631578947368424,0.23552631578947372
saved_data.npy,0,10,2,19,9,0.33766233766233766,0.30519480519480513
saved_data.npy,1,10,2,19,9,0.36363636363636365,0.2896103896103896
saved_data.npy,2,10,2,19,9,0.2597402597402597,0.22467532467532472
saved_data.npy,3,10,2,19,9,0.36363636363636365,0.3298701298701299
saved_data.npy,4,10,2,19,9,0.2857142857142857,0.23636363636363633
saved_data.npy,5,10,2,19,9,0.3116883116883117,0.251948051948052
saved_data.npy,6,10,2,19,9,0.3684210526315789,0.3171052631578947
saved_data.npy,7,10,2,19,9,0.34210526315789475,0.2763157894736842
saved_data.npy,8,10,2,19,9,0.34210526315789475,0.3013157894736842
saved_data.npy,9,10,2,19,9,0.27631578947368424,0.22236842105263155
